lastname,firstname,town,state,state_and_twon,Airport1,Airport2,Airport3,Flight 1,Flight 2,Flight 3
Young,Don,Fort Yukon,Alaska,"Fort Yukon ,  Alaska",ANC,FAI,,568.5,542.5,0
Byrne,Bradley,Fairhope,Alabama,"Fairhope ,  Alabama",MOB,,,296.6,0,0
Roby,Martha,Montgomery,Alabama,"Montgomery ,  Alabama",MGM,,,0,0,0
Rogers,Mike,Anniston,Alabama,"Anniston ,  Alabama",BHM,MGM,CSG,210.6,0,0
Aderholt,Robert,Haleyville,Alabama,"Haleyville ,  Alabama",BHM,,,210.6,0,0
Brooks,Mo,Huntsville,Alabama,"Huntsville ,  Alabama",HSV,,,343.6,0,0
Palmer,Gary,Hoover,Alabama,"Hoover ,  Alabama",BHM,,,210.6,0,0
Sewell,Terri,Birmingham,Alabama,"Birmingham ,  Alabama",BHM,MGM,,210.6,0,0
Crawford,Eric,Jonesboro,Arkansas,"Jonesboro ,  Arkansas",JBR,MEM,LIT,0,158.6,175.6
Hill,J.,Little Rock,Arkansas,"Little Rock ,  Arkansas",LIT,,,175.6,0,0
Womack,Steve,Rogers,Arkansas,"Rogers ,  Arkansas",XNA,FSM,,288.6,0,0
Westerman,Bruce,Hot Springs,Arkansas,"Hot Springs ,  Arkansas",LIT,XNA,FSM,175.6,288.6,0
Radewagen,Aumua Amata,Pago Pago,American Samoa,"Pago Pago ,  American Samoa",,,,0,0,0
Kirkpatrick,Ann,Flagstaff,Arizona,"Flagstaff ,  Arizona",PHX,FLG,,174.6,1434.6,0
McSally,Martha,Tucson,Arizona,"Tucson ,  Arizona",TUS,,,234.6,0,0
Grijalva,Raí_l,Tucson,Arizona,"Tucson ,  Arizona",PHX,YUM,TUS,174.6,0,234.6
Gosar,Paul,Prescott,Arizona,"Prescott ,  Arizona",PRC,PHX,LAS,357.1,174.6,224.1
Salmon,Matt,Mesa,Arizona,"Mesa ,  Arizona",PHX,,,174.6,0,0
Schweikert,David,Fountain Hills,Arizona,"Fountain Hills ,  Arizona",PHX,,,174.6,0,0
Gallego,Ruben,Phoenix,Arizona,"Phoenix ,  Arizona",PHX,,,174.6,0,0
Franks,Trent,Peoria,Arizona,"Peoria ,  Arizona",PHX,,,174.6,0,0
Sinema,Kyrsten,Phoenix,Arizona,"Phoenix ,  Arizona",PHX,,,174.6,0,0
LaMalfa,Doug,Oroville,California,"Oroville ,  California",RDD,RNO,,479.6,190.6,0
Huffman,Jared,San Rafael,California,"San Rafael ,  California",SFO,OAK,SJC,178.6,462.6,225.6
Garamendi,John,Walnut Grove,California,"Walnut Grove ,  California",OAK,SMF,,462.6,235.6,0
McClintock,Tom,Roseville,California,"Roseville ,  California",SMF,FAT,RNO,235.6,204.6,190.6
